Year,Population,Yearly Percentage Change,Yearly  Change,Median Age,Fertility Rate,Each Country World Population Share,World Population
2023,1425671352,-0.02,-215985,39.0,1.19,17.72,8045311447
2022,1425887337,0.0,-6128,38.5,1.18,17.88,7975105156
2020,1424929781,0.22,3065750,37.4,1.28,18.17,7840952880
2015,1393715448,0.67,9104816,35.6,1.67,18.77,7426597537
2010,1348191368,0.66,8660761,34.1,1.69,19.3,6985603105
2005,1304887562,0.64,8157699,31.7,1.62,19.9,6558176119
2000,1264099069,0.74,9190929,28.9,1.63,20.56,6148898975
1995,1218144426,1.09,12888035,26.1,1.59,21.21,5743219454
1990,1153704252,1.7,18692855,23.7,2.51,21.7,5316175862
1985,1060239979,1.54,15573503,21.7,2.63,21.81,4861730613
1980,982372466,1.43,13449561,20.8,2.74,22.11,4444007706
1975,915124661,2.16,18518042,19.0,3.57,22.49,4069437231
1970,822534450,2.59,19737620,18.0,6.09,22.26,3695390336
1965,723846349,2.04,13935131,18.5,6.61,21.69,3337111983
1960,654170692,1.63,10170109,19.9,4.45,21.67,3019233434
1955,603320147,2.09,11868183,20.7,6.26,21.97,2746072141
