Year,Population,Yearly Percentage Change,Yearly  Change,Median Age,Fertility Rate,Each Country World Population Share,World Population
2023,216422446,0.52,1108948,33.6,1.62,2.69,8045311447
2022,215313498,0.46,987275,33.2,1.63,2.7,7975105156
2020,213196304,0.67,1413426,32.4,1.65,2.72,7840952880
2015,205188205,0.88,1766943,30.3,1.78,2.76,7426597537
2010,196353492,1.0,1911232,28.2,1.81,2.81,6985603105
2005,186797334,1.21,2184723,26.1,1.97,2.85,6558176119
2000,175873720,1.47,2471678,24.3,2.26,2.86,6148898975
1995,163515328,1.64,2561776,22.9,2.58,2.85,5743219454
1990,150706446,1.96,2784653,21.5,2.91,2.83,5316175862
1985,136783180,2.27,2898959,20.3,3.47,2.81,4861730613
1980,122288383,2.38,2717574,19.2,4.04,2.75,4444007706
1975,108700515,2.44,2466128,18.2,4.42,2.67,4069437231
1970,96369875,2.63,2349226,17.3,4.97,2.61,3695390336
1965,84623747,2.97,2306246,16.8,5.68,2.54,3337111983
1960,73092515,3.11,2078297,16.9,6.06,2.42,3019233434
1955,62701031,3.05,1749134,17.3,6.08,2.28,2746072141
