Year,Population,Yearly Percentage Change,Yearly  Change,Median Age,Fertility Rate,Each Country World Population Share,World Population
2023,1428627663,0.8099999999999999,11454490,28.2,2.0,17.76,8045311447
2022,1417173173,0.6799999999999999,9609331,27.9,2.01,17.77,7975105156
2020,1396387127,0.96,13275077,27.3,2.05,17.81,7840952880
2015,1322866505,1.29,16450577,25.5,2.29,17.81,7426597537
2010,1240613620,1.45,17194981,24.0,2.6,17.76,6985603105
2005,1154638713,1.73,19001008,22.6,2.96,17.61,6558176119
2000,1059633675,1.9,19070909,21.6,3.35,17.23,6148898975
1995,964279129,2.07,18765393,20.7,3.65,16.79,5743219454
1990,870452165,2.21,18042016,20.0,4.05,16.37,5316175862
1985,780242084,2.29,16682740,19.5,4.43,16.05,4861730613
1980,696828385,2.25,14660833,19.0,4.78,15.68,4444007706
1975,623524219,2.26,13204584,18.6,5.2,15.32,4069437231
1970,557501301,2.2,11477391,18.3,5.62,15.09,3695390336
1965,500114346,2.32,10831953,18.5,5.94,14.99,3337111983
1960,445954579,2.27,9475317,19.2,5.92,14.77,3019233434
1955,398577992,2.23,8311378,19.7,5.91,14.51,2746072141
