Year,Population,Yearly Percentage Change,Yearly  Change,Median Age,Fertility Rate,Each Country World Population Share,World Population
2023,128455567,0.75,951442,29.8,1.79,1.6,8045311447
2022,127504125,0.63,798987,29.4,1.8,1.6,7975105156
2020,125998302,0.73,912991,28.7,1.91,1.61,7840952880
2015,120149897,1.32,1523499,26.7,2.14,1.62,7426597537
2010,112532401,1.31,1418000,24.9,2.34,1.61,6985603105
2005,105442402,1.5,1513792,23.3,2.5,1.61,6558176119
2000,97873442,1.7,1580774,21.8,2.72,1.59,6148898975
1995,89969572,1.94,1649829,20.3,3.04,1.57,5743219454
1990,81720428,1.77,1369684,18.7,3.45,1.54,5316175862
1985,74872006,2.03,1433364,17.4,4.09,1.54,4861730613
1980,67705186,2.9,1802661,16.3,4.78,1.52,4444007706
1975,58691882,3.14,1680515,15.6,5.79,1.44,4069437231
1970,50289306,3.31,1510263,15.1,6.55,1.36,3695390336
1965,42737991,3.34,1293987,15.2,6.82,1.28,3337111983
1960,36268055,2.89,963183,15.6,6.76,1.2,3019233434
1955,31452141,2.65,770402,16.1,6.73,1.15,2746072141
