Year,Population,Yearly Percentage Change,Yearly  Change,Median Age,Fertility Rate,Each Country World Population Share,World Population
2023,223804632,2.41,5263420,17.2,5.06,2.78,8045311447
2022,218541212,2.41,5139889,17.1,5.14,2.74,7975105156
2020,208327405,2.47,5022913,16.9,5.31,2.66,7840952880
2015,183995785,2.71,4608586,16.7,5.62,2.48,7426597537
2010,160952853,2.76,4092426,16.7,5.98,2.3,6985603105
2005,140490722,2.72,3527748,17.0,6.07,2.14,6558176119
2000,122851984,2.57,2932875,17.0,6.12,2.0,6148898975
1995,108187610,2.59,2594671,16.7,6.27,1.88,5743219454
1990,95214257,2.64,2325801,16.4,6.46,1.79,5316175862
1985,83585251,2.76,2126762,16.5,6.62,1.72,4861730613
1980,72951439,3.03,2020025,17.0,6.85,1.64,4444007706
1975,62851312,2.49,1456410,17.5,6.77,1.54,4069437231
1970,55569264,2.16,1128693,18.0,6.47,1.5,3695390336
1965,49925799,2.13,999491,18.3,6.37,1.5,3337111983
1960,44928342,1.93,817824,18.3,6.36,1.49,3019233434
1955,40839223,1.89,729971,18.3,6.4,1.49,2746072141
