Year,Population,Yearly Percentage Change,Yearly  Change,Median Age,Fertility Rate,Each Country World Population Share,World Population
2023,240485658,1.98,4660796,20.6,3.35,2.99,8045311447
2022,235824862,1.91,4422745,20.4,3.41,2.96,7975105156
2020,227196741,1.75,3903461,20.0,3.56,2.9,7840952880
2015,210969298,1.64,3302960,19.4,3.9,2.84,7426597537
2010,194454498,2.2,4016480,18.8,4.3,2.78,6985603105
2005,174372098,2.47,4000435,17.9,4.64,2.66,6558176119
2000,154369924,3.01,4250490,17.2,5.26,2.51,6148898975
1995,133117476,2.9,3540681,16.7,5.89,2.32,5743219454
1990,115414069,3.51,3658503,17.1,6.36,2.17,5316175862
1985,97121552,3.79,3299499,17.4,6.59,2.0,4861730613
1980,80624057,3.43,2499412,17.2,6.73,1.81,4444007706
1975,68126999,2.82,1767225,16.8,6.81,1.67,4069437231
1970,59290872,2.72,1489849,17.2,6.8,1.6,3695390336
1965,51841626,2.44,1177480,18.0,6.8,1.55,3337111983
1960,45954226,2.3,986220,18.4,6.8,1.52,3019233434
1955,41023128,1.71,665373,18.6,6.8,1.49,2746072141
