Year,Population,Yearly Percentage Change,Yearly  Change,Median Age,Fertility Rate,Each Country World Population Share,World Population
2023,144444359,-0.19,-268955,39.2,1.52,1.8,8045311447
2022,144713314,-0.27,-389441,39.0,1.51,1.81,7975105156
2020,145617329,-0.09,-124957,38.6,1.49,1.86,7840952880
2015,144668389,0.2,285158,37.6,1.8,1.95,7426597537
2010,143242599,-0.08,-111490,36.9,1.6,2.05,6985603105
2005,143800049,-0.42,-608958,36.4,1.34,2.19,6558176119
2000,146844839,-0.23,-342522,35.6,1.22,2.39,6148898975
1995,148557451,0.06999999999999999,110349,33.9,1.36,2.59,5743219454
1990,148005704,0.7100000000000001,1021862,32.2,1.9,2.78,5316175862
1985,142896392,0.66,927794,31.0,2.1,2.94,4861730613
1980,138257420,0.65,883116,30.1,1.91,3.11,4444007706
1975,133841842,0.5700000000000001,749766,29.9,2.02,3.29,4069437231
1970,130093010,0.58,738481,29.7,2.01,3.52,3695390336
1965,126400607,1.09,1333102,27.4,2.15,3.79,3337111983
1960,119735095,1.53,1752649,26.3,2.58,3.97,3019233434
1955,110971852,1.59,1678349,24.8,2.83,4.04,2746072141
