Year,Population,Yearly Percentage Change,Yearly  Change,Median Age,Fertility Rate,Each Country World Population Share,World Population
2023,339996563,0.5,1706706,38.1,1.66,4.23,8045311447
2022,338289857,0.38,1292233,37.9,1.66,4.24,7975105156
2020,335942003,0.49,1622332,37.5,1.64,4.279999999999999,7840952880
2015,324607776,0.8500000000000001,2684986,36.6,1.84,4.37,7426597537
2010,311182845,0.95,2868035,36.1,1.93,4.45,6985603105
2005,296842670,1.0,2888823,35.1,2.06,4.53,6558176119
2000,282398554,1.23,3347600,34.2,2.05,4.590000000000001,6148898975
1995,265660556,1.38,3515365,33.1,1.97,4.63,5743219454
1990,248083732,1.08,2587510,31.8,2.07,4.67,5316175862
1985,235146182,1.05,2401233,30.4,1.84,4.84,4861730613
1980,223140018,1.1,2373097,29.1,1.83,5.02,4444007706
1975,211274535,1.07,2189239,27.9,1.77,5.19,4069437231
1970,200328340,1.1,2125011,27.2,2.47,5.42,3695390336
1965,189703283,1.49,2702941,27.5,2.86,5.680000000000001,3337111983
1960,176188578,1.8,3010426,28.6,3.55,5.84,3019233434
1955,161136449,1.68,2570980,29.2,3.44,5.87,2746072141
