,Country (or dependency),Population  (2023),Yearly  Change %,Net  Change,Land Area  (Km²),Fertility Rate,Median Age,World  Share %,Life Expectency (2021),Mortality Rate (2021)
0,India,1428627663,0.81,11454490,2973190,2.0,28.0,17.76,67.24,25.5
1,China,1425671352,-0.02,-215985,9388211,1.2,39.0,17.72,78.211,5.1
2,United States,339996563,0.5,1706706,9147420,1.7,38.0,4.23,76.32926829,5.4
3,Indonesia,277534122,0.74,2032783,1811570,2.1,30.0,3.45,67.57,18.9
4,Pakistan,240485658,1.98,4660796,770880,3.3,21.0,2.99,66.098,52.8
5,Nigeria,223804632,2.41,5263420,910770,5.1,17.0,2.78,52.676,70.6
6,Brazil,216422446,0.52,1108948,8358140,1.6,34.0,2.69,72.75,12.9
7,Bangladesh,172954319,1.03,1767947,130170,1.9,27.0,2.15,72.381,22.9
8,Russia,144444359,-0.19,-268955,16376870,1.5,39.0,1.8,69.36121951,4.1
9,Mexico,128455567,0.75,951442,1943950,1.8,30.0,1.6,70.213,11.4
10,Ethiopia,126527060,2.55,3147136,1000000,4.0,19.0,1.57,64.975,34.3
11,Japan,123294513,-0.53,-657179,364555,1.3,49.0,1.53,84.44560976,1.7
12,Philippines,117337368,1.54,1778359,298170,2.7,25.0,1.46,69.266,20.5
13,Egypt,112716598,1.56,1726495,995450,2.8,24.0,1.4,,
14,DR Congo,102262808,3.29,3252596,2267050,6.1,16.0,1.27,59.193,62.4
15,Vietnam,98858950,0.68,672094,310070,1.9,33.0,1.23,73.618,16.4
16,Iran,89172767,0.7,622197,1628550,1.7,33.0,1.11,,
17,Turkey,85816199,0.56,474958,769630,1.9,32.0,1.07,,
18,Germany,83294633,-0.09,-75210,348560,1.5,45.0,1.04,80.90097561,3.0
19,Thailand,71801279,0.15,104249,510890,1.3,40.0,0.89,78.715,7.1
20,United Kingdom,67736802,0.34,227866,241930,1.6,40.0,0.84,80.7,3.7
21,Tanzania,67438106,2.96,1940358,885800,4.6,17.0,0.84,66.201,34.1
22,France,64756584,0.2,129956,547557,1.8,42.0,0.8,82.32439024,3.4
23,South Africa,60414495,0.87,520610,1213090,2.3,28.0,0.75,62.341,26.4
24,Italy,58870762,-0.28,-166712,294140,1.3,48.0,0.73,82.79512195,2.2
25,Kenya,55100586,1.99,1073099,569140,3.2,20.0,0.68,61.427,28.0
26,Myanmar,54577997,0.74,398691,653290,2.1,30.0,0.68,65.672,33.7
27,Colombia,52085168,0.41,211144,1109500,1.7,32.0,0.65,72.83,11.1
28,South Korea,51784059,-0.06,-31751,97230,0.9,44.0,0.64,83.52682927,2.5
29,Uganda,48582334,2.82,1332749,199810,4.4,16.0,0.6,62.705,31.2
30,Sudan,48109006,2.63,1234802,1765048,4.3,19.0,0.6,65.267,38.9
31,Spain,47519628,-0.08,-39002,498800,1.3,45.0,0.59,83.17804878,2.6
32,Argentina,45773884,0.58,263566,2736690,1.9,32.0,0.57,75.39,6.1
33,Algeria,45606480,1.57,703255,2381740,2.8,28.0,0.57,76.377,19.2
34,Iraq,45504560,2.27,1008438,434320,3.4,20.0,0.57,70.378,20.7
35,Afghanistan,42239854,2.7,1111083,652860,4.4,17.0,0.53,61.982,43.4
36,Poland,41026067,2.93,1168922,306230,1.5,40.0,0.51,75.60243902,3.7
37,Canada,38781291,0.85,326964,9093510,1.5,41.0,0.48,82.59660976,4.4
38,Morocco,37840044,1.02,382073,446300,2.3,29.0,0.47,74.042,15.4
39,Saudi Arabia,36947025,1.48,538205,2149690,2.4,31.0,0.46,76.936,5.7
40,Ukraine,36744634,-7.45,-2957105,579320,1.3,45.0,0.46,69.64780488,7.0
41,Angola,36684202,3.08,1095215,1246700,5.1,16.0,0.46,61.643,47.2
42,Uzbekistan,35163944,1.55,536292,425400,2.8,27.0,0.44,70.862,12.6
43,Yemen,34449825,2.24,753211,527970,3.6,19.0,0.43,63.753,46.7
44,Peru,34352719,0.89,303131,1280000,2.1,29.0,0.43,72.377,11.0
45,Malaysia,34308525,1.09,370304,328550,1.8,31.0,0.43,74.884,6.5
46,Ghana,34121985,1.93,646115,227540,3.5,21.0,0.42,63.795,32.6
47,Mozambique,33897354,2.81,927836,786380,4.5,17.0,0.42,59.325,51.0
48,Nepal,30896590,1.14,349010,143350,2.0,24.0,0.38,68.45,22.8
49,Madagascar,30325732,2.41,714018,581795,3.7,19.0,0.38,64.485,45.3
50,Cote D'Ivoire,28873034,2.53,712492,318000,4.3,18.0,0.36,58.598,55.9
51,Venezuela,28838499,1.9,536803,882050,2.2,28.0,0.36,70.554,21.1
52,Cameroon,28647293,2.63,732757,472710,4.3,18.0,0.36,60.333,47.0
53,Niger,27202843,3.8,994866,1266700,6.7,15.0,0.34,61.576,59.5
54,Australia,26439111,1.0,261698,7682300,1.6,38.0,0.33,83.3,3.2
55,North Korea,26160821,0.35,91405,120410,1.8,36.0,0.33,73.284,10.1
56,Taiwan,23923276,0.13,29882,35410,1.2,42.0,0.3,,
57,Mali,23293698,3.1,700108,1220190,5.8,15.0,0.29,58.941,61.6
58,Burkina Faso,23251485,2.55,577723,273600,4.6,17.0,0.29,59.27,51.8
59,Syria,23227014,4.98,1101765,183630,2.7,22.0,0.29,,
60,Sri Lanka,21893579,0.28,61436,62710,2.0,33.0,0.27,76.399,5.8
61,Malawi,20931751,2.58,526434,94280,3.8,17.0,0.26,62.904,31.2
62,Zambia,20569737,2.76,552062,743390,4.2,17.0,0.26,61.223,40.2
63,Romania,19892812,1.19,233545,230170,1.7,41.0,0.25,72.96097561,5.3
64,Chile,19629590,0.13,25857,743532,1.5,36.0,0.24,78.944,5.6
65,Kazakhstan,19606633,1.08,208635,2699700,3.0,30.0,0.24,70.23,9.1
66,Chad,18278568,3.13,555253,1259200,6.1,15.0,0.23,52.525,66.0
67,Ecuador,18190484,1.05,189484,248360,2.0,28.0,0.23,73.67,10.7
68,Somalia,18143378,3.1,545867,627340,6.1,15.0,0.23,55.28,71.1
69,Guatemala,18092026,1.39,248118,107160,2.3,23.0,0.22,69.237,19.6
70,Senegal,17763163,2.58,446714,192530,4.3,18.0,0.22,67.093,29.1
71,Netherlands,17618299,0.31,54285,33720,1.6,42.0,0.22,81.46097561,3.5
72,Cambodia,16944826,1.06,176984,176520,2.3,27.0,0.21,69.584,21.3
73,Zimbabwe,16665409,2.11,344872,386850,3.4,18.0,0.21,59.253,35.7
74,Guinea,14190612,2.39,331271,245720,4.2,18.0,0.18,58.892,63.8
75,Rwanda,14094683,2.31,317985,24670,3.7,19.0,0.18,66.072,29.7
76,Benin,13712828,2.7,359964,112760,4.8,18.0,0.17,59.821,55.2
77,Burundi,13238559,2.71,348983,25680,4.9,16.0,0.16,61.663,37.6
